name,website,description,category,source_url,source,entity_status
Pushary,https://pushary.com,Get push notifications when your AI agent finishes,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Intrascope.app,https://intrascope.app,"Centralize your team’s AI, cut costs and stay organized",ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
ProblemHunt,https://problemhunt.pro,Startup ideas people actually need,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
MindPal,https://mindpal.space,Turn domain expertise into AI agents & multi-agent workflows,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Poke.com,https://poke.com,"Text with poke, your friend, assistant, or nemesis",ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
TwelveLabs,https://www.twelvelabs.io,AI platform for deep video understanding,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Ovren,https://www.ovren.ai,Your AI engineering department that ships your backlog,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Github Copilot,https://copilot.github.com,Your AI pair programmer,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
KAYAK,http://www.KAYAK.com,Search hundreds of travel sites at once.,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
CoSupport AI,https://cosupport.ai/,"AI support agents that don’t hallucinate, live in 10 mins",ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Inrō,https://www.inro.social/ph,AI-Powered Marketing Automation for Instagram,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Flexprice,https://flexprice.io,Usage-based pricing and billing for developers,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Pilot,https://pilot.com,Pilot does your books. You do your business.,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Amarsia,https://amarsia.com,"Ship AI fast, iterate safely — no glue code.",ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Brew,https://brew.new,Like Claude design for email marketing,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Agentmemory,https://agent-memory.dev,"Persistent memory for Claude Code, Codex & coding agents",ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Free AI Video Editor OpenCutAI,https://opencutai.video,Create Instagram Reels and edit videos with AI for free,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Grok AI assistant,https://grok.x.ai,Elon Musk's response to chatGPT 🤖,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Querri,https://www.querri.com,The AI Data Analyst for Everyone,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
Manna,https://themanna.app,Duolingo for Bible Study,ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
NudgeFile,https://nudgefile.com,"Automatically organize, rename, and manage files with AI",ai,https://webclaw.io/data/startups/ai/llms.txt,Webclaw Startup Dataset,unmatched
